Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-E9-A1ND-11A-43R-A144-07	0.026434159	0	0	0.086443774	0.046318009	0.012479949	0	0	0	0.013199229	0	0	0.2237187	0.021114039	0.485452465	0.008964046	0	0.075875631	0	0	0
TCGA-A7-A0CH-11A-32R-A089-07	0.098644556	0	0	0.03778062	0.16987467	0.007781137	0.00582438	0.007545483	0	0	0.056165231	0	0.182223892	0.042170395	0.298605572	7.19E-05	0	0.093312137	0	0	0
TCGA-BH-A204-11A-53R-A157-07	0.094778818	0	0.006060057	0	0.20511493	0	0.005751405	0	0.031020708	0	0.072961884	0	0	0.051644345	0.3377508	0.003122981	0.006268154	0.138919672	0.039003641	0.007602605	0
TCGA-BH-A0HA-11A-31R-A12P-07	0.138422003	0	0.04403035	0.237664745	0.417659302	0	0	0	0	0	0.043302164	0.025471686	0.008417859	0	0.060958546	0	0.021483732	0	0.002589613	0	0
TCGA-BH-A0DV-11A-22R-A12P-07	0.047912028	0	0.129687923	0.195248798	0.191562625	0	0.038113917	0	0	0	0.020414074	0.024210809	0.045678503	0.012318522	0.238967695	0.024814391	0.015742462	0.008492125	0	0.006836126	0
TCGA-E2-A158-11A-22R-A12D-07	0.022782903	0	0.004312642	0.034128849	0.219862119	0	0	0	0	0	0.061627813	0.041123363	0	0.024167735	0.319030827	0.003471355	0	0.251104052	0	0	0.018388342
TCGA-BH-A1ET-11B-23R-A137-07	0.12470909	0	0.02427833	0.073980955	0.318545245	0.00557923	0	0	0	0.038911913	0	0.004359347	0	0.024745811	0.348136226	0	0	0.025626973	0.01112688	0	0
TCGA-AC-A2FF-11A-13R-A17B-07	0.093112933	0	0.061286384	0.071178809	0.141943653	0	0.037042616	0.004899372	0.005443351	0	0.00199719	0	0.254473417	0.042542328	0.199522896	0.040560191	0	0.045996861	0	0	0
TCGA-BH-A18M-11A-33R-A12D-07	0.242642212	0	0.035418531	0.056859694	0.175856642	0	0.012290039	0	0	0	0.02949163	0.028068682	0	0.03307068	0.23297983	0.017837105	0.008887895	0.090704857	0.0041233	0	0.031768902
TCGA-AC-A2FB-11A-13R-A17B-07	0.078223133	0	0.101554946	0.062205984	0.217848555	0.006695156	0	0	0.009317098	0	0.021905384	0.017844656	0	0.045386529	0.269652221	0.043585824	0	0.124315742	0	0	0.001464772
TCGA-BH-A0DZ-11A-22R-A089-07	0.186735114	0	0.123273293	0.160691746	0.090487616	0	0.114164424	0.00343791	0	0	0.013588169	0.022796692	0.031264039	0.01151862	0.154514623	0.022898981	0.00623738	0.058391395	0	0	0
TCGA-BH-A0DD-11A-23R-A12P-07	0.026798829	0	0	0.022030661	0.09015342	0	0	0.000461727	0.054227666	0	0.064268993	0	0.27405573	0.022846734	0.366630715	0	0.001080125	0.074966875	0.002478526	0	0
TCGA-BH-A0AZ-11A-22R-A12P-07	0.20555127	0	0.087591732	0.074620204	0.22761482	0	0.024321707	0	0	0.003365955	0.001050396	0.00514575	0.080274114	0.013144131	0.203589607	0.052776716	0	0.01281488	0.008138718	0	0
TCGA-BH-A1FM-11B-23R-A13Q-07	0.159726636	0	0.121250084	0.136519375	0.163473366	0	0.014858804	0	0	0.017354129	0.021537696	0.024969546	0	0.018337089	0.240932692	0.007015337	0.005881542	0.068143704	0	0	0
TCGA-E9-A1NA-11A-33R-A144-07	0.064648153	0	0.050949055	0.132901698	0.096428465	0	0.012391547	0	0	0.036512628	0.007703413	0.042706546	0	0.016119927	0.354270289	0.005486714	0	0.164585337	0	0	0.015296227
TCGA-E9-A1N9-11A-71R-A14D-07	0.084928604	0	0.151046002	0.121306559	0.215152151	0	0.036851773	0	0	0.028382734	0.008652323	0.022969013	0	0.023986707	0.180337389	0.056168899	0.012863391	0.057354456	0	0	0
TCGA-BH-A18V-11A-52R-A12D-07	0.12625767	0	0.072955083	0.134493474	0.272689802	0.000835997	0.01690658	0.008115172	0	0	0	0.032351561	0	0.011793111	0.246746347	0.000547634	0.003886329	0.072421239	0	0	0
TCGA-BH-A1EU-11A-23R-A137-07	0.08008168	0	0.005522895	0.106258753	0.231997429	0.010815926	0.00644976	0	0	0.032037869	0	0.013106169	0	0.013185336	0.347042168	0.009601049	0	0.143900966	0	0	0
TCGA-E2-A1BC-11A-32R-A12P-07	0.03983281	0	0.002938023	0.081917923	0.236512448	0	0.010241354	0	0	0	0.038864704	0.022179571	0	0.024025946	0.316263988	0.001372551	0	0.209229455	0	0	0.016621228
TCGA-BH-A1F8-11B-21R-A13Q-07	0.104465087	0	0.030901789	0.166088081	0.090008349	0	0.013209124	0	0.021604885	0.006519244	0.019312996	0	0.017243486	0.034141472	0.381137195	0	0	0.115368294	0	0	0
TCGA-E9-A1RF-11A-32R-A157-07	0.034285209	0	0.000516089	0.039827895	0.161516342	0.005978298	0	0	0.037452921	0	0.008319194	0	0	0.027621765	0.581116827	0.026957439	0.004677636	0.068123009	0	0	0.003607378
TCGA-BH-A1FR-11B-42R-A13Q-07	0.034447901	0	0.020864425	0.038655896	0.129383399	0.001943925	0.010681842	0.000871393	0.008662173	0.004018913	0	0	0.438230237	0.037959278	0.187085082	0.021648803	0	0.065546732	0	0	0
TCGA-BH-A0B7-11A-34R-A115-07	0.099927356	0	0.076903707	0.186064386	0.288880325	0	0.031104914	0	0	0.024899118	0	0.010028812	0.060395552	0.013391195	0.154874716	0.02293978	0.019650553	0	0.010939584	0	0
TCGA-BH-A0BV-11A-31R-A089-07	0.112238321	0	0.078796111	0.075516561	0.133255016	0	0.100731838	0	0	0	0.054789832	0.008536834	0.037070199	0.023416896	0.247005035	0.004895033	0.037264808	0.070000002	0.016483513	0	0
TCGA-BH-A0C0-11A-21R-A089-07	0.080990584	0	0.075528231	0.132835406	0.255681892	0	0.055126281	0	0	0	0.001226959	0.029980276	0	0.067418838	0.148485015	0.120461999	0	0.032264519	0	0	0
TCGA-A7-A0DB-11A-33R-A089-07	0.003321795	0	0	0.006641127	0.075698102	0.001052983	1.99E-05	0	0	0.008966078	0.011381652	0.026148265	0	0.039262753	0.681100269	0.010821551	0	0.132041188	0	0	0.003544353
TCGA-BH-A1FU-11A-23R-A14D-07	0.095354924	0	0.054366409	0.126845197	0.335938284	0	0.00475798	0	0	0.020937068	0	0.012343965	0.033176603	0.072252554	0.118765422	0.036301536	0	0.088960056	0	0	0
TCGA-BH-A1FJ-11B-42R-A13Q-07	0.073348706	0	0.005641281	0	0.17701426	0	0.028906241	0	0.053766296	0	0.007562745	0	0	0.048449343	0.456821652	0.010071381	0.005512419	0.128680785	0	0	0.004224891
TCGA-E2-A1LH-11A-22R-A14D-07	0.123434884	0	0.017058766	0.248446688	0.15416938	0	0.04289873	0.010096398	0	0	0.008471254	0	0.123831407	0.046618552	0.196028211	0.013511631	0	0.015434099	0	0	0
TCGA-E9-A1NG-11A-52R-A14M-07	0.033119049	0	0.003324631	0.062442614	0.108033571	0.00706737	0	0	0	0	0.013968328	0.002691108	0	0.029065152	0.573190116	0.014715489	0.000195253	0.149514042	0	0	0.002673276
TCGA-E2-A15K-11A-13R-A12P-07	0.097016493	0	0.016871872	0.17119308	0.213938569	0	0.014299079	0.013695775	0	0	0.059287778	0.014664327	0.00301828	0.011491467	0.341105438	0.006725453	0.000850425	0.002685984	0.033155978	0	0
TCGA-E9-A1RH-11A-34R-A169-07	0.009161989	0	0.024531265	0.042922794	0.074983342	0	0	0	0.037956625	0.012247641	0.004893035	0	0	0.056044799	0.449907631	0.026955905	0	0.260394975	0	0	0
TCGA-BH-A0H7-11A-13R-A089-07	0.082629853	0	0.064252695	0.081687346	0.199730424	0	0.074208017	0	0.013861899	0	0.052630136	0.007283806	0	0.074677667	0.221484009	0.030605606	0	0.096948543	0	0	0
TCGA-BH-A0H9-11A-22R-A466-07	0.009414538	0.00563543	0	0.03941198	0.231780586	0	0.006010763	0	0.056488385	0	0.053656568	0	0.026160401	0.044751634	0.38597653	0	0.023028482	0.117684702	0	0	0
TCGA-BH-A1FC-11A-32R-A13Q-07	0.085849221	0	0.010226119	0.08864627	0.231593171	0.00060618	0.048897552	0	0.060064734	0.015104206	0	0.01086806	0	0.113766503	0.149145931	0.128002136	0	0.040984709	0.015440397	0	0.000804811
TCGA-E9-A1NF-11A-73R-A14D-07	0.000971037	0	0	0.028259311	0.119294256	0	0	0.002185967	0	0.014511032	0.01561904	0.035786966	0	0.022391186	0.638054667	0.000311737	0	0.122614801	0	0	0
TCGA-BH-A18J-11A-31R-A12D-07	0.111755926	0	0.009400979	0.117335762	0.143428755	0	0.011886129	0.017637667	0	0.019373864	0	0	0.144084134	0.024538655	0.355369285	0	0	0	0.045188844	0	0
TCGA-BH-A1FB-11A-33R-A13Q-07	0.097472625	0	0.124230484	0.197498787	0.205353238	0.008881324	0.012014349	0	0	0	0.004987567	0.017258639	0	0.032365899	0.18087512	0.079929808	0	0.035310313	0	0.000610873	0.003210974
TCGA-BH-A0BW-11A-12R-A115-07	0.170393093	0	0.122445241	0.115564289	0.21279594	0.035592956	0.026558137	0.002097932	0	5.34E-05	0	0	0.143117057	0.047362472	0.045508535	0.054056719	0.012169034	0.012285171	0	0	0
TCGA-E9-A1RC-11A-33R-A157-07	0.027370904	0	0.000413555	0.027111499	0.132928382	0	0	0	0.052201572	0.047023752	0	0.032010223	0	0.062179716	0.457180112	0	0	0.140778382	0	0	0.020801903
TCGA-BH-A1FH-11B-42R-A13Q-07	0.131504704	0	0.018556454	0.04593369	0.182300747	0	0.001665028	0	0	0.021866611	0.001431285	0.025333855	0	0.012278007	0.382813717	0.011526498	0.002197038	0.083081157	0.035931723	0	0.043579487
TCGA-BH-A0BJ-11A-23R-A089-07	0.201941992	0	0.050615988	0.133821135	0.16715824	0	0.038390375	0.006251267	0	0	0.008214334	0.004293016	0.034586913	0.009370114	0.212535912	0.017521625	0.00930919	0.105989899	0	0	0
TCGA-BH-A1F0-11B-23R-A137-07	0.105635939	0	0.102654845	0.145685226	0.156898653	0	0.066148657	0	0.047929263	0	0.018963876	0	0	0.097665044	0.177463085	0	0.003551065	0.077404348	0	0	0
TCGA-BH-A18S-11A-43R-A12D-07	0.046883177	0	0	0.08186064	0.098704463	0	0.018478256	0	0.005676461	0	0.005490851	0	0.22632574	0.03492267	0.446773892	0.022951311	0	0	0.01193254	0	0
TCGA-BH-A18Q-11A-34R-A12D-07	0.12617794	0	0.101276359	0.182280393	0.260276308	0	0.023420082	0	0	0	0.028825601	0.011184914	0	0.032496106	0.158504065	0.031958943	0	0.043599289	0	0	0
TCGA-BH-A0DL-11A-13R-A115-07	0.042837585	0	0	0.135468443	0.203791731	0	0.03324766	0.012021467	0	0	0.038262881	0.008714494	0	0.07194963	0.192572349	0.131662056	0.00929779	0.120173915	0	0	0
TCGA-BH-A0BM-11A-12R-A089-07	0.062526662	0	0.007085306	0.190339533	0.372571046	0.025578846	0.006305573	0.009527228	0	0.035415144	0	0.036035295	0	0.020970146	0.084069603	0.104857481	0.030762131	0	0.013956005	0	0
TCGA-BH-A18R-11A-42R-A12D-07	0.105886507	0	0.188499216	0.083846217	0.270974473	0	0.005998424	0	0	0	0.007649121	0.007707098	0.013085059	0.012807334	0.105833332	0.007711753	0	0.190001465	0	0	0
TCGA-BH-A18N-11A-43R-A12D-07	0.058359902	0	0.047446056	0.055989726	0.21521095	0	0.00029588	0	0	0	0.032160072	0.027934149	0	0.057958123	0.373315422	0.013663918	0	0.117665802	0	0	0
TCGA-BH-A0E1-11A-13R-A089-07	0.198417509	0	0.21015886	0.139932933	0.277221578	0	0.004094618	0	0	0	0.022434473	0.016429222	0.011610454	0.001267955	0.077087485	0	0.025657386	0.015687528	0	0	0
TCGA-BH-A18K-11A-13R-A12D-07	0.171951881	0	0.164174498	0.074050196	0.182082176	0	0.035271186	0	0	0.005704649	0.010066265	0.006034734	0	0.018177065	0.185735572	0.046568407	0.00326861	0.096914761	0	0	0
TCGA-E9-A1R7-11A-42R-A14M-07	0.041489914	0	0.010933047	0.058888611	0.117762487	0	0.00246463	0	0	0	0.038062343	0	0	0.040026918	0.516160303	0.005727146	0	0.160138043	0	0	0.008346559
TCGA-BH-A0DO-11A-22R-A12D-07	0.161242308	0	0.236586367	0.136929724	0.201210343	0	0.01956793	0	0	0	0	0	0.126268288	0.040727444	0.072527235	0	0	0	0.00494036	0	0
TCGA-E9-A1RI-11A-41R-A169-07	0.002274359	0.001064064	0	0.022421448	0.209204527	0	0	0	0.025501333	0	0.055756475	0.030624982	0	0.045096743	0.520888236	0.001312011	0	0.072147759	0	0.013708064	0
TCGA-BH-A0HK-11A-11R-A089-07	0.047272709	0	0.055922813	0.134215277	0.062061744	0	0.022755901	0.015200036	0	0	0.059415491	0.015420856	0	0.039822809	0.320771279	0.047711381	0.01810527	0.075260104	0.062593642	0.019112213	0.004358473
TCGA-BH-A1FE-11B-14R-A13Q-07	0.166201884	0	0.051986778	0.155220395	0.311187922	0.019492737	0.036238855	0	0.031823214	0	0	0	0.028662658	0.004677334	0.152325611	0.003486615	0.027081253	0.011614744	0	0	0
TCGA-BH-A1EV-11A-24R-A137-07	0.109333699	0	0.022808627	0.036064711	0.223917639	0	0.008506299	0	0.06158583	0	0.040897035	0	0	0.062205895	0.260424958	0.03444412	0	0	0.127277229	0	0.012533958
TCGA-BH-A1FD-11B-21R-A13Q-07	0.103177	0	0.024737484	0.015096669	0.230247396	0	0	0	0.032064173	0	0.023426238	0	0	0.030887066	0.389987275	0.010840808	0	0	0.129299165	0	0.010236729
TCGA-BH-A18U-11A-23R-A12D-07	0.148055458	0	0.044782018	0.052124222	0.252602487	0	0.043630255	0	0.00115096	0.005224914	0.00522881	0.008527517	0	0.088196986	0.229916432	0.045961701	0.01100632	0.05508967	0	0	0.008502249
TCGA-BH-A0DT-11A-12R-A12D-07	0.142067797	0	0.106372054	0.08748656	0.218715096	0	0.038236756	0	0	0	0.014234583	0.011846921	0.016182416	0.008815462	0.280751256	0.03967616	0.01770889	0	0.017906049	0	0
TCGA-BH-A0H5-11A-62R-A115-07	0.273773701	0	0.103144811	0.143214565	0.19847356	0	0.024242052	0	0	0	0.02563677	0.030598801	0.031373007	0.037773467	0.074003561	0.006392156	0.006661082	0.044712467	0	0	0
TCGA-A7-A13F-11A-42R-A12P-07	0.160804509	0	0.106014629	0.105038629	0.152855173	0	0.000151636	0	0	0	0.029641245	0.000771306	0	0.009872696	0.34394104	0	0.015995292	0.074913845	0	0	0
TCGA-BH-A1EN-11A-23R-A13Q-07	0.120278912	0	0.032126997	0.102667052	0.171931623	0.022269926	0	0.001139157	0.045042251	0.031907334	0.008520277	0.003189273	0	0.060685154	0.266281913	0.051618378	0	0.082341752	0	0	0
TCGA-E9-A1N6-11A-32R-A144-07	0.067182132	0	0.052033891	0.151183988	0.21506854	0	0.016168282	0.000959133	0	5.08E-05	0	0.001817483	0.058120283	0.016333299	0.284498786	0.067338726	0.021983019	0.047261595	0	0	0
TCGA-E9-A1RB-11A-33R-A157-07	0.113720786	0	0.007918961	0.14301291	0.188172399	0.026086247	0	0	0	0.023519536	0	0.032129724	0.048701189	0.018796879	0.130965182	0.01776301	0	0.114415589	0	0	0.134797587
TCGA-AC-A23H-11A-12R-A157-07	0.094124505	0	0.009524058	0.080525101	0.080919504	0	0.001373882	0	0.013522282	0	0.023479927	0.004750836	0	0.016758663	0.271594585	0.032592604	0.007897926	0.362936126	0	0	0
TCGA-BH-A0DH-11A-31R-A089-07	0.080368986	0	0.060927439	0.183333841	0.112021135	0	0	0.003871363	0.013987288	0.00551304	0.02834007	0.010916127	0	0.028708121	0.228317453	0.073501624	0	0.17019351	0	0	0
TCGA-BH-A1FN-11A-34R-A13Q-07	0.079376598	0	0.04946501	0.113596486	0.108570457	0.021365306	0.012705509	0	0.078800646	0	0	0.032442798	0	0.030105394	0.320984219	0.02197356	0.005616153	0.104403843	0.017803023	0	0.002790997
TCGA-BH-A0DG-11A-43R-A12P-07	0.155694124	0	0.101449555	0.145272015	0.277891772	0.01372465	0.010672644	0	0	0.026366752	0.002697728	0.019000444	0.004795399	0.014534049	0.140143436	0.037981592	0	0.04977584	0	0	0
TCGA-BH-A0DP-11A-12R-A089-07	0.042867689	0	0.04780237	0.122518021	0.377987234	0	0	0	0	0	0.047787945	0.014385485	0	0.026412867	0.143422744	0.03703003	0.01149877	0.128286845	0	0	0
TCGA-BH-A0AU-11A-11R-A12P-07	0.222015868	0	0.151904243	0.14782136	0.30172122	0	0.005015662	0	0	0.00519674	0.007155676	0.015576767	0	0.000175393	0.108925753	0	0.005335765	0.029155553	0	0	0
TCGA-BH-A1F6-11B-94R-A13Q-07	0.023920564	0	0.002701857	0.024431259	0.145928556	0	0	0	0	0	0.048514213	0	0	0.013267806	0.519958379	0.001369926	0.006223236	0.213684203	0	0	0
TCGA-BH-A0B5-11A-23R-A12P-07	0.03809553	0	0.001079457	0	0.200612481	0	0	0	0.003906391	0	0.064549211	0.038235245	0	0.047212678	0.350904986	0.016152166	0	0.222483671	0	0	0.016768183
TCGA-BH-A0BA-11A-22R-A19E-07	0.18106222	0	0.187830511	0.079485536	0.249643339	0	0.003566034	0	0	0	0.012815384	0.00667917	0	0.027706396	0.123901121	0.051773619	0	0.069461841	0.006074829	0	0
TCGA-BH-A0BT-11A-21R-A12P-07	0.07573982	0	0.011692015	0.218666501	0.215711628	0	0.002040705	0.015475574	0	0	0.005933812	0.005697061	0.102698949	0.03710701	0.264704216	0.012703056	0	0.031829653	0	0	0
TCGA-BH-A18P-11A-43R-A12D-07	0.135798542	0	0.008872152	0.122346073	0.275570836	0	0.001223894	0	0.004668942	0	0.018061038	0.000230602	0	0.020235516	0.272855588	0	0.009027459	0.094479348	0.030990766	0.005639244	0
TCGA-E2-A1LS-11A-32R-A157-07	0.069815326	0	0	0.02895279	0.286214372	0	0.005911181	0	0.056497291	0	0.059694107	0.008145904	0	0.07957501	0.205496205	0.024132373	0	0.0187013	0.130399266	0.023131071	0.003333805
TCGA-AC-A2FM-11B-32R-A19W-07	0.070768993	0	0.0225208	0.141806345	0.151738086	0.003341443	0.023813933	0.004966159	0	0	0.041608977	0.056909044	0.005905483	0.051316855	0.276231836	0.00356274	0	0.1188067	0.026702606	0	0
TCGA-BH-A0BQ-11A-33R-A115-07	0.080254933	0	0.032334704	0.173419825	0.328768881	0	0.027810257	0	0	0	0.011971957	0.012046388	0	0.053991041	0.13801986	0.050468976	0	0.090913177	0	0	0
TCGA-A7-A0CE-11A-21R-A089-07	0.084759984	0	0.085188132	0.107768494	0.140276926	0.025327152	0	0.014779714	0	0.012711175	0	0.008525475	0.022455475	0.019175497	0.370062679	0.010460483	0.004393247	0.093969045	0	0	0.000146523
TCGA-E9-A1N4-11A-33R-A14M-07	0.070554123	0	0.003455007	0.197008994	0.272606579	0	0.060121108	0	0	0	0	0.010772245	0.179674828	0.030594195	0.146930532	0	0.002733824	0	0.025548565	0	0
TCGA-BH-A1EW-11B-33R-A137-07	0.094755663	0	0.070672639	0.119443979	0.343798729	0	0.046595901	0	0	0	0.025301651	0.011655936	0	0.041863161	0.176305778	0.002515551	0	0.067091012	0	0	0
TCGA-BH-A0DQ-11A-12R-A089-07	0.234968706	0	0.203608361	0.094177116	0.145828001	0	0.019745862	0	0	0	0.006615135	0.010435335	0.0498533	0.039937198	0.118811462	0.01193684	0	0.064082684	0	0	0
TCGA-E9-A1N5-11A-41R-A14D-07	0.076477193	0	0.04451002	0.042546781	0.075332497	0	0.051041037	0	0	0	0.011839759	0	0.363843909	0.018671443	0.253024643	0	0.001031548	0.061681172	0	0	0
TCGA-BH-A1FG-11B-12R-A13Q-07	0.111888731	0	0.011459578	0.111827584	0.134022405	0	0.032225314	0	0.063830524	0	0	0	0	0.0276889	0.321734969	0.015244857	0.006832482	0.055063206	0.10818145	0	0
TCGA-BH-A1EO-11A-31R-A137-07	0.015902513	0	0.001121864	0.009133778	0.07635869	0	0	0	0.074924081	0	0.017815105	0.027657304	0.020074765	0.010206483	0.524262845	0.061162899	0	0.111363636	0.001640043	0	0.048375995
TCGA-BH-A0AY-11A-23R-A089-07	0.122820562	0	0.240541296	0.150794418	0.1491092	0	0.007121642	0	0.010368485	0	0.021088637	0	0.003641948	0.034669356	0.174970216	0.012825607	0	0.072048634	0	0	0
TCGA-GI-A2C9-11A-22R-A21T-07	0.153239259	0	0.065136066	0.067721805	0.196709833	0	0.033407698	0	0	0	0.040335069	0.005426239	0	0.030402259	0.251250176	0.001673399	0	0	0.152701258	0	0.001996939
TCGA-E2-A15G-01A-11R-A12D-07	0.068566442	0	0.000985273	0.084520712	0.2147919	0	0.052278134	0	0	0	0.029035791	0.087615784	0	0.066554039	0.232760478	0.034034203	0	0.128857245	0	0	0
TCGA-E2-A1B5-01A-21R-A12P-07	0.065129673	0.026224958	0.062144272	0.176869303	0.227690309	0.030242164	0.040016678	0.07614219	0	0	0.032479902	0	0.054222656	0.068074822	0.065677146	0	0.016244614	0.058841313	0	0	0
TCGA-EW-A2FS-01A-11R-A17B-07	0.1134094	0	0.080872819	0.120589178	0.232607619	0.006803884	0.104136633	0.026221032	0.026321394	0	0	0	0.080882928	0.104859533	0.058351388	0.037426943	0	0	0.007517249	0	0
